MODULE	P	FREQ	ZSCORE	CHI	CHI_SD	CHI_SE	NGENES	NMARKER	DENSITY	FDR	DESCR	TOPGENES	TOPMARKERS	TOPVALUES
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.9458806496469e-225	0	32.0321488648276	36.4371709323267	24.2451092373743	7.66697673096907	15	1294	1	1.26611967603692e-223		CCDC189,KAT8,RP11-196G11.2,PRSS36,STX4,RNF40;AQP3;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;ADCY9;DYNC1I1;DCTN6;DYNC1I2;VAMP2;ADCY3;DYNC2LI1	rs11150601;rs589231;rs11575895;rs11866933;rs17167209;rs80323232;rs6729945;rs35217368;rs35933217;rs143770198	3.93;3.03;2.77;1.85;1.68;1.33;1.27;1.26;1.26;1.13
REACTOME_APOPTOTIC_EXECUTION_PHASE	4.02768826075355e-225	0	32.0094520403066	35.8092696498472	24.0101728443611	7.59268332025047	26	1316	1	2.45688983905967e-223		SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;CASP6;KPNB1;CTNNB1;ACIN1;CASP8;DSP;PTK2;FNTA;KPNA1	rs11575895;rs7439493;rs16942199;rs2691678;rs7160161;rs16836399;rs9505188;rs10109684;rs899852;rs143238715	2.77;2.06;2.03;1.99;1.91;1.63;1.59;1.55;1.42;1.40
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	1.57679737728429e-208	0	30.7939927122394	35.9927446327627	24.124575562144	7.62886063612119	21	1305	1	9.05267200134978e-207		SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;CASP6;CTNNB1;ACIN1;CASP8;DSP;PTK2;FNTA;CDH1;CASP7	rs11575895;rs7439493;rs2691678;rs7160161;rs16836399;rs9505188;rs10109684;rs899852;rs62057830;rs2185913	2.77;2.06;1.99;1.91;1.63;1.59;1.55;1.42;1.35;1.31
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	1.54489215539578e-205	0	30.5697554147252	35.4443088158002	23.4376364601157	7.41163141849719	40	1381	0.999276410998553	8.3767485759238e-204		KIF17;GRIN3B;CAMK4;LIN7A;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;PRKAG2;PRKAR2A,USP4;GRIN2A;GRIA4;TUBB8	rs34602121;rs111278892;rs389402;rs78913991;rs11575895;rs4725434;rs6809851;rs11648322;rs12574741;rs7070067	4.52;3.96;3.48;3.13;2.77;2.75;2.75;2.72;2.31;2.12
KEGG_LONG_TERM_DEPRESSION	3.35927137002676e-197	0	29.9358791478616	35.305526694482	23.6483139719865	7.47825349742606	34	1364	1	1.72560466165585e-195		GRM1;IGF1R;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;PPP2R1B;PRKCA;PLA2G4E;LYN;MAP2K2;PLA2G12A;PRKG1	rs509673;rs2654981;rs11575895;rs11213899;rs179275;rs1712402;rs56119798;rs8104376;rs7439493;rs9943367	2.91;2.84;2.77;2.72;2.61;2.26;2.23;2.21;2.06;1.98
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	6.05509733336224e-195	0	29.762052825096	34.8619662044258	23.4705305566917	7.42203344517255	45	1369	1	2.95488749868077e-193		SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;COG7;TUBB8;COG4;ACTR10;BET1;DYNC1I1;COG2;SPTBN5,RPAP1,EHD4,RP11-23P13.6,MAPKBP1;SPTBN1	rs11575895;rs1468138;rs7070067;rs56140825;rs117749108;rs13224092;rs17167209;rs1887491;rs1618332;rs62136839	2.77;2.52;2.12;2.00;1.77;1.70;1.68;1.65;1.64;1.58
REACTOME_RHO_GTPASE_CYCLE	4.6200329438933e-191	0	29.4604892523991	34.9239885492134	23.1661520428109	7.32578050770449	57	1427	1	2.1472153110666e-189		ARHGAP45;ARHGAP22;ARHGEF5;WDR90,RHOT2;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;ARHGAP1;RHOJ;ARHGEF10;OBSCN;ARHGAP9	rs4622634;rs3845284;rs77283277;rs7204542;rs11575895;rs34937994;rs7145437;rs1137514;rs12026358;rs7133915	4.29;3.87;3.39;2.96;2.77;2.76;2.59;2.44;2.42;2.37
REACTOME_VISUAL_PHOTOTRANSDUCTION	4.7765571121746e-177	0	28.3453417490183	35.4889646611111	22.6745514562717	7.17032275245065	47	1425	0.997899159663866	2.11905442794655e-175		APOE;APOC2;GPC2;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;PRKCA;RBP4;GUCA1A;CYP4V2;GUCA1B;RGS9	rs434132;rs62117224;rs34857299;rs11575895;rs179275;rs7089172;rs1474762;rs10021124;rs7761792;rs55641320	20.20;12.69;5.80;2.77;2.61;2.53;2.31;2.26;2.18;2.08
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	2.08644083269531e-176	0	28.2933457267159	33.295251545479	22.5453421154583	7.1294631712567	90	1485	1	8.85376631613313e-175		SEC23IP;TRAPPC6A;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;SEC24B;COG7;MGAT3;MIA3;TBC1D20;TRAPPC4;TUBB8	rs112029;rs111243475;rs11575895;rs7687245;rs1468138;rs8137052;rs3811465;rs6051908;rs77499725;rs7070067	3.04;2.91;2.77;2.72;2.52;2.51;2.32;2.27;2.15;2.12
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	9.5213721648085e-173	0	27.9943376181168	30.9322012090139	20.1310235562923	6.36598860683866	170	1806	0.992853216052776	3.87202468035546e-171		APOE;APOC2;GPC2;GNB2;AGT;KNG1;CAMK4;GNB4;LA16c-OS12.2,RGS11;NMUR1	rs434132;rs62117224;rs34857299;rs60738304;rs2493144;rs5030014;rs389402;rs1345445;rs9940585;rs13384421	20.20;12.69;5.80;5.36;3.89;3.53;3.48;3.24;2.90;2.78
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	4.97464322704634e-166	0	27.4369320166141	14.9974141557641	3.47566679125827	1.09910234481851	31	1769	0.95466810577442	1.94210071583889e-164		HLA-DRB5;HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DQB1-AS1,HLA-DRB1,HLA-DRB6;VPS52,BTNL2,HLA-DRA;PPP2R1B;TRIB3;LYN;MAP3K14;THEM4;TNFRSF14;AKT1	rs543928;rs9271440;rs28895120;rs11213899;rs6115770;rs56119798;rs77692262;rs2932561;rs6424082;rs4983534	5.57;4.08;3.57;2.72;2.33;2.23;2.20;2.15;1.98;1.91
REACTOME_MEMBRANE_TRAFFICKING	3.96960993872826e-165	0	27.3612308044229	32.0447769262388	19.1184272471762	6.04577753812997	299	2362	0.996204133277098	1.49013050007646e-163		BIN1;BLOC1S3;KLC3;STAG3,PVRIG,AP4M1,LAMTOR4,AGFG2,GATS;MADD;CCDC189,KAT8,RP11-196G11.2,PRSS36,STX4,RNF40;TRMT61A,RP11-73M18.8,KLC1,BAG5,MARK3,RP11-73M18.6;RIN3;VPS52,BTNL2,HLA-DRA;AAK1	rs4663105;rs140167268;rs35751749;rs34857299;rs3781627;rs11150601;rs8005540;rs61977311;rs28895120;rs6546523	15.05;5.94;5.93;5.80;4.63;3.93;3.72;3.70;3.57;3.55
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	7.77964149069476e-164	0	27.2524135601384	36.2760820303296	24.1558878332122	7.63876244565001	18	1306	0.997708174178762	2.81219633145114e-162		SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;PRKCA;GUCA1A;GUCA1B;RGS9;NMT2;GRK4;GRK7;GUCA1C;CNGA1	rs11575895;rs179275;rs1474762;rs7761792;rs55641320;rs10906862;rs2471327;rs147589443;rs2075766;rs16860663	2.77;2.61;2.31;2.18;2.08;2.03;1.91;1.89;1.69;1.59
REACTOME_HIV_LIFE_CYCLE	1.31495154530631e-150	0	26.1124931976653	34.100492108131	22.5817281033492	7.14096943092178	69	1490	1	4.58354538649626e-149		POLR2E;ERCC3;SUPT4H1;ELL;NUP85;POLR2B;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;NUP88;GTF2F2;CCNT2	rs4147929;rs55636820;rs1985749;rs748609;rs114562713;rs4276341;rs11575895;rs8064959;rs59407355;rs6751833	5.55;4.73;4.19;3.54;3.15;2.93;2.77;2.69;2.64;2.57
REACTOME_SIGNALING_BY_RHO_GTPASES	1.52245560361916e-148	0	25.9301539660852	31.2981814257079	20.6463077906819	6.52893578914336	165	1772	0.998872604284104	5.12385058321484e-147		KLC3;ARHGAP45;ARHGAP22;TRMT61A,RP11-73M18.8,KLC1,BAG5,MARK3,RP11-73M18.6;SKA2;RHPN2;ARHGEF5;BAIAP2;CENPP;NUP85	rs35751749;rs4622634;rs3845284;rs8005540;rs7208590;rs11880141;rs77283277;rs12949878;rs10992368;rs114562713	5.93;4.29;3.87;3.72;3.61;3.57;3.39;3.36;3.35;3.15
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1.00020387066316e-142	0	25.4091042870686	32.3426327013011	21.4279804314658	6.77612238209496	120	1636	0.997560975609756	3.25399659255748e-141		GNB2;KIF17;GRIN3B;CACNB2;CHRNA2;CAMK4;GNB4;CACNA1B;LIN7A;CHRNA3,CHRNA5,RP11-650L12.2,PSMA4	rs60738304;rs34602121;rs111278892;rs11596974;rs2241659;rs389402;rs1345445;rs7043116;rs78913991;rs931794	5.36;4.52;3.96;3.91;3.69;3.48;3.24;3.17;3.13;2.81
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	8.39007810334579e-141	0	25.2344500765462	31.55702945792	21.3301603365678	6.74518895201379	114	1662	0.997000599880024	2.64152136415016e-139		GRIN3B;P2RX1;CHRNA2;ADRA1A;GRM1;THRA;CHRNA3,CHRNA5,RP11-650L12.2,PSMA4;NMUR1;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;GRIN2A	rs111278892;rs8081417;rs2241659;rs74722975;rs509673;rs12451644;rs931794;rs13384421;rs11575895;rs11648322	3.96;3.72;3.69;2.94;2.91;2.84;2.81;2.78;2.77;2.72
